ward_id,method,year,cumulative_exhaustion,percentage_christian,pct_over_65,pct_women,pct_married_or_widowed,pct_uni_educated,num_candidates,num_winners,total_votes,average_ballot_length,percentage_cands_ranked,pct_unemployed,electorate,turnout,k/n
S13002524,0,2022.0,18.009999999999998,0.39,0.255499602,-0.008500000000000008,0.6023,0.363,4.0,1.0,1825.0,2.2471,0.5618,0.0135,6243.0,0.2923,0.25
S13002524,3,2017.0,76.64,0.39,0.255499602,-0.008500000000000008,0.6023,0.363,4.0,1.0,1825.0,2.2471,0.5618,0.0135,8436.0,0.2163,0.25
S13002524,3,2017.0,76.64,0.39,0.255499602,-0.008500000000000008,0.6023,0.363,7.0,3.0,3365.0,3.1064,0.4438,0.0135,8436.0,0.3989,0.4286
S13002524,2,2017.0,46.83,0.39,0.255499602,-0.008500000000000008,0.6023,0.363,4.0,1.0,1825.0,2.2471,0.5618,0.0135,8436.0,0.2163,0.25
S13002524,1,2022.0,7.66,0.39,0.255499602,-0.008500000000000008,0.6023,0.363,7.0,3.0,3365.0,3.1064,0.4438,0.0135,6243.0,0.539,0.4286
S13002524,1,2022.0,7.66,0.39,0.255499602,-0.008500000000000008,0.6023,0.363,4.0,1.0,1825.0,2.2471,0.5618,0.0135,6243.0,0.2923,0.25
S13002524,2,2022.0,50.66,0.39,0.255499602,-0.008500000000000008,0.6023,0.363,7.0,3.0,3365.0,3.1064,0.4438,0.0135,6243.0,0.539,0.4286
S13002524,2,2022.0,50.66,0.39,0.255499602,-0.008500000000000008,0.6023,0.363,4.0,1.0,1825.0,2.2471,0.5618,0.0135,6243.0,0.2923,0.25
S13002524,3,2022.0,76.52,0.39,0.255499602,-0.008500000000000008,0.6023,0.363,4.0,1.0,1825.0,2.2471,0.5618,0.0135,6243.0,0.2923,0.25
S13002524,3,2022.0,76.52,0.39,0.255499602,-0.008500000000000008,0.6023,0.363,7.0,3.0,3365.0,3.1064,0.4438,0.0135,6243.0,0.539,0.4286
S13002524,1,2017.0,9.43,0.39,0.255499602,-0.008500000000000008,0.6023,0.363,4.0,1.0,1825.0,2.2471,0.5618,0.0135,8436.0,0.2163,0.25
S13002524,0,2017.0,23.61,0.39,0.255499602,-0.008500000000000008,0.6023,0.363,7.0,3.0,3365.0,3.1064,0.4438,0.0135,8436.0,0.3989,0.4286
S13002524,0,2017.0,23.61,0.39,0.255499602,-0.008500000000000008,0.6023,0.363,4.0,1.0,1825.0,2.2471,0.5618,0.0135,8436.0,0.2163,0.25
S13002524,1,2017.0,9.43,0.39,0.255499602,-0.008500000000000008,0.6023,0.363,7.0,3.0,3365.0,3.1064,0.4438,0.0135,8436.0,0.3989,0.4286
S13002524,2,2017.0,46.83,0.39,0.255499602,-0.008500000000000008,0.6023,0.363,7.0,3.0,3365.0,3.1064,0.4438,0.0135,8436.0,0.3989,0.4286
S13002525,3,2017.0,97.69999999999999,0.4317,0.295953757,0.022299999999999986,0.5812,0.3995,5.0,4.0,3861.0,2.7938,0.5588,0.0154,7356.0,0.5249,0.8
S13002525,3,2017.0,97.69999999999999,0.4317,0.295953757,0.022299999999999986,0.5812,0.3995,7.0,4.0,3947.0,3.2523,0.4646,0.0154,7356.0,0.5366,0.5714
S13002525,1,2017.0,10.2,0.4317,0.295953757,0.022299999999999986,0.5812,0.3995,7.0,4.0,3947.0,3.2523,0.4646,0.0154,7356.0,0.5366,0.5714
S13002525,1,2017.0,10.2,0.4317,0.295953757,0.022299999999999986,0.5812,0.3995,5.0,4.0,3861.0,2.7938,0.5588,0.0154,7356.0,0.5249,0.8
S13002525,0,2017.0,17.56,0.4317,0.295953757,0.022299999999999986,0.5812,0.3995,7.0,4.0,3947.0,3.2523,0.4646,0.0154,7356.0,0.5366,0.5714
S13002525,0,2017.0,17.56,0.4317,0.295953757,0.022299999999999986,0.5812,0.3995,5.0,4.0,3861.0,2.7938,0.5588,0.0154,7356.0,0.5249,0.8
S13002525,2,2017.0,86.92,0.4317,0.295953757,0.022299999999999986,0.5812,0.3995,7.0,4.0,3947.0,3.2523,0.4646,0.0154,7356.0,0.5366,0.5714
S13002525,0,2022.0,14.39,0.4317,0.295953757,0.022299999999999986,0.5812,0.3995,5.0,4.0,3861.0,2.7938,0.5588,0.0154,7821.0,0.4937,0.8
S13002525,0,2022.0,14.39,0.4317,0.295953757,0.022299999999999986,0.5812,0.3995,7.0,4.0,3947.0,3.2523,0.4646,0.0154,7821.0,0.5047,0.5714
S13002525,1,2022.0,5.47,0.4317,0.295953757,0.022299999999999986,0.5812,0.3995,5.0,4.0,3861.0,2.7938,0.5588,0.0154,7821.0,0.4937,0.8
S13002525,1,2022.0,5.47,0.4317,0.295953757,0.022299999999999986,0.5812,0.3995,7.0,4.0,3947.0,3.2523,0.4646,0.0154,7821.0,0.5047,0.5714
S13002525,2,2017.0,86.92,0.4317,0.295953757,0.022299999999999986,0.5812,0.3995,5.0,4.0,3861.0,2.7938,0.5588,0.0154,7356.0,0.5249,0.8
S13002525,2,2022.0,73.19,0.4317,0.295953757,0.022299999999999986,0.5812,0.3995,7.0,4.0,3947.0,3.2523,0.4646,0.0154,7821.0,0.5047,0.5714
S13002525,3,2022.0,95.97,0.4317,0.295953757,0.022299999999999986,0.5812,0.3995,5.0,4.0,3861.0,2.7938,0.5588,0.0154,7821.0,0.4937,0.8
S13002525,3,2022.0,95.97,0.4317,0.295953757,0.022299999999999986,0.5812,0.3995,7.0,4.0,3947.0,3.2523,0.4646,0.0154,7821.0,0.5047,0.5714
S13002525,2,2022.0,73.19,0.4317,0.295953757,0.022299999999999986,0.5812,0.3995,5.0,4.0,3861.0,2.7938,0.5588,0.0154,7821.0,0.4937,0.8
S13002526,3,2017.0,91.99,0.4334,0.204421397,0.011499999999999955,0.646,0.4004,5.0,3.0,2884.0,2.7743,0.5549,0.0134,6276.0,0.4595,0.6
