ward_code,num_candidates,num_winners,total_votes,average_ballot_length,percentage_cands_ranked
S13002866,11.0,4.0,5782.0,3.579,0.3254
S13002862,6.0,3.0,4841.0,3.0421,0.507
S13002863,6.0,3.0,4832.0,3.0271,0.5045
S13002849,5.0,3.0,3070.0,2.686,0.5372
S13002861,7.0,4.0,5635.0,3.0266,0.4324
S13002860,7.0,4.0,5706.0,3.089,0.4413
S13002930,10.0,4.0,10649.0,4.4022,0.4402
S13002924,7.0,3.0,11429.0,3.0575,0.4368
S13002919,10.0,4.0,14207.0,3.5485,0.3549
S13002925,9.0,4.0,8493.0,3.7919,0.4213
S13002931,5.0,3.0,7613.0,3.0846,0.6169
S13002927,6.0,3.0,9146.0,3.0868,0.5145
S13002933,5.0,4.0,11699.0,3.0965,0.6193
S13002932,8.0,4.0,10630.0,3.6862,0.4608
S13002926,6.0,3.0,11379.0,3.0841,0.514
S13002922,8.0,4.0,10399.0,3.5851,0.4481
S13002923,8.0,4.0,13567.0,3.4021,0.4253
S13002935,7.0,4.0,10431.0,3.5644,0.5092
S13002921,5.0,3.0,9474.0,2.8121,0.5624
S13002920,7.0,4.0,11315.0,3.2399,0.4628
S13002934,7.0,4.0,11731.0,3.3613,0.4802
S13002928,6.0,4.0,13579.0,3.3393,0.5565
S13002929,6.0,4.0,8886.0,3.2192,0.5365
S13003011,5.0,3.0,4420.0,2.5439,0.5088
S13003013,6.0,3.0,2828.0,3.064,0.5107
S13003012,6.0,3.0,3227.0,2.8791,0.4799
S13003016,6.0,3.0,4061.0,3.0017,0.5003
S13003017,5.0,3.0,3157.0,2.6563,0.5313
S13003015,7.0,3.0,4774.0,3.0432,0.4347
S13003014,9.0,4.0,5041.0,3.4317,0.3813
S13003132,8.0,4.0,6432.0,3.4863,0.4358
S13003069,6.0,3.0,4785.0,3.0376,0.5063
S13003068,6.0,3.0,4466.0,3.062,0.5103
S13003066,7.0,1.0,4086.0,2.4821,0.3546
S13003072,6.0,1.0,5552.0,2.3761,0.396
S13003073,7.0,3.0,3457.0,3.0683,0.4383
S13003067,5.0,3.0,5159.0,2.7251,0.545
S13003071,5.0,1.0,3431.0,2.1755,0.4351
S13003065,9.0,3.0,4662.0,3.2079,0.3564
S13003064,7.0,4.0,6764.0,3.3255,0.4751
S13003074,5.0,1.0,7027.0,2.1604,0.4321
S13003063,8.0,3.0,4547.0,3.4779,0.4347
S13003052,8.0,4.0,4647.0,3.402,0.4252
S13003053,8.0,4.0,6203.0,3.3123,0.414
S13003047,7.0,3.0,4339.0,3.2187,0.4598
S13003051,5.0,3.0,3773.0,2.8691,0.5738
S13003045,8.0,4.0,5931.0,3.5227,0.4403
S13003044,9.0,4.0,5919.0,3.5366,0.393
S13003050,8.0,4.0,4887.0,3.2844,0.4106
S13003134,6.0,3.0,4559.0,3.0851,0.5142
S13003054,7.0,4.0,5043.0,3.0291,0.4327
S13003055,5.0,3.0,4684.0,2.8198,0.564
S13003043,10.0,4.0,7176.0,3.6458,0.3646
S13003057,5.0,3.0,3719.0,2.8236,0.5647
S13003056,7.0,4.0,4918.0,3.0679,0.4383
S13003042,7.0,3.0,4439.0,3.0345,0.4335
S13003058,7.0,3.0,4557.0,3.0779,0.4397
S13003059,6.0,4.0,5663.0,3.1072,0.5179
S13003049,8.0,4.0,5939.0,3.2899,0.4112
S13003061,9.0,4.0,6406.0,3.4354,0.3817
S13003060,12.0,4.0,5984.0,3.5037,0.292
S13003048,8.0,4.0,4877.0,3.4675,0.4334
S13003062,7.0,4.0,5688.0,3.1204,0.4458
S13003143,9.0,4.0,4515.0,3.6532,0.4059
S13003008,8.0,4.0,5085.0,3.5583,0.4448
S13003009,8.0,4.0,5369.0,3.3354,0.4169
S13002990,8.0,3.0,2807.0,3.4147,0.4268
S13002991,9.0,4.0,5244.0,3.6148,0.4016
S13002993,7.0,3.0,3561.0,3.1421,0.4489
S13002992,9.0,4.0,4676.0,3.6465,0.4052
S13002996,6.0,3.0,3484.0,3.3358,0.556
S13002997,7.0,4.0,4427.0,3.3998,0.4857
S13002995,9.0,4.0,4102.0,3.8457,0.4273
S13002994,8.0,4.0,5620.0,3.7977,0.4747
S13002998,7.0,3.0,4591.0,3.2636,0.4662
S13003004,6.0,3.0,4068.0,2.9044,0.4841
S13003010,7.0,4.0,4162.0,3.2338,0.462
S13003005,7.0,3.0,3590.0,3.285,0.4693
S13003007,10.0,4.0,5303.0,3.9478,0.3948
S13003006,8.0,3.0,3782.0,3.3326,0.4166
S13003002,7.0,3.0,3486.0,3.3706,0.4815
S13003003,8.0,3.0,3419.0,3.5323,0.4415
S13003001,7.0,4.0,5059.0,3.5811,0.5116
S13002953,9.0,3.0,5891.0,3.2064,0.3563
S13002947,9.0,4.0,7971.0,3.4843,0.3871
S13002946,8.0,3.0,5710.0,3.1888,0.3986
S13003131,10.0,3.0,5963.0,3.4253,0.3425
S13002950,8.0,4.0,7703.0,3.4348,0.4293
S13003130,8.0,4.0,4947.0,3.3956,0.4244
S13002955,7.0,3.0,4564.0,3.2182,0.4597
S13002954,8.0,3.0,5169.0,3.0511,0.3814
S13002956,8.0,3.0,3995.0,3.1459,0.3932
S13002966,8.0,4.0,5105.0,3.1928,0.3991
S13002965,8.0,4.0,6559.0,3.2153,0.4019
S13002959,8.0,3.0,4652.0,3.0688,0.3836
S13002958,8.0,4.0,6255.0,3.2054,0.4007
